candidat_id,filiere_code,parcours_id,score_compatibilite,est_admissible,est_recommandee
STD_2026_0001,AEE,P1,74.64,Sous condition,Non
STD_2026_0001,IAA,P1,48.78,Non,Oui
STD_2026_0001,PIP,P1,48.4,Non,Non
STD_2026_0001,EMII,P2,47.72,Non,Non
STD_2026_0001,GCA,P2,57.26,Non,Non
STD_2026_0001,ICMP,P2,54.12,Non,Non
STD_2026_0001,ESIIA,P3,48.93,Non,Non
STD_2026_0001,IGGLIA,P3,76.96,Oui,Non
STD_2026_0001,IMTICIA,P3,73.46,Sous condition,Non
STD_2026_0001,ISAIA,P3,53.33,Non,Non
STD_2026_0001,TEE,P4,75.99,Oui,Non
STD_2026_0001,TEH,P4,77.84,Oui,Non
STD_2026_0001,CAA,P5,73.7,Sous condition,Non
STD_2026_0001,DTJA,P5,82.37,Oui,Non
STD_2026_0001,EMP,P5,76.27,Oui,Non
STD_2026_0001,FIC,P5,54.5,Non,Non
STD_2026_0002,AEE,P1,70.58,Sous condition,Non
STD_2026_0002,IAA,P1,48.3,Non,Non
STD_2026_0002,PIP,P1,46.46,Non,Oui
STD_2026_0002,EMII,P2,47.11,Non,Non
STD_2026_0002,GCA,P2,51.78,Non,Non
STD_2026_0002,ICMP,P2,43.59,Non,Non
STD_2026_0002,ESIIA,P3,47.06,Non,Non
STD_2026_0002,IGGLIA,P3,75.66,Oui,Non
STD_2026_0002,IMTICIA,P3,73.17,Sous condition,Non
STD_2026_0002,ISAIA,P3,48.04,Non,Non
STD_2026_0002,TEE,P4,79.61,Oui,Non
STD_2026_0002,TEH,P4,73.69,Sous condition,Non
STD_2026_0002,CAA,P5,72.15,Sous condition,Non
STD_2026_0002,DTJA,P5,75.89,Oui,Non
STD_2026_0002,EMP,P5,76.37,Oui,Non
STD_2026_0002,FIC,P5,46.68,Non,Non
STD_2026_0003,AEE,P1,52.01,Non,Non
STD_2026_0003,IAA,P1,51.01,Non,Non
STD_2026_0003,PIP,P1,51.76,Non,Non
STD_2026_0003,EMII,P2,43.34,Non,Oui
STD_2026_0003,GCA,P2,41.78,Non,Non
STD_2026_0003,ICMP,P2,33.64,Non,Non
STD_2026_0003,ESIIA,P3,49.93,Non,Non
STD_2026_0003,IGGLIA,P3,57.68,Non,Non
STD_2026_0003,IMTICIA,P3,77.31,Oui,Non
STD_2026_0003,ISAIA,P3,58.13,Non,Non
STD_2026_0003,TEE,P4,86.29,Oui,Non
STD_2026_0003,TEH,P4,82.21,Oui,Non
STD_2026_0003,CAA,P5,72.31,Sous condition,Non
STD_2026_0003,DTJA,P5,81.08,Oui,Non
STD_2026_0003,EMP,P5,55.55,Non,Non
STD_2026_0003,FIC,P5,51.01,Non,Non
STD_2026_0004,AEE,P1,81.49,Oui,Non
STD_2026_0004,IAA,P1,80.45,Oui,Non
STD_2026_0004,PIP,P1,84.1,Oui,Non
STD_2026_0004,EMII,P2,87.22,Oui,Non
STD_2026_0004,GCA,P2,85.26,Oui,Oui
STD_2026_0004,ICMP,P2,91.52,Oui,Non
STD_2026_0004,ESIIA,P3,75.36,Oui,Non
STD_2026_0004,IGGLIA,P3,73.01,Sous condition,Non
STD_2026_0004,IMTICIA,P3,74.21,Sous condition,Non
STD_2026_0004,ISAIA,P3,70.63,Sous condition,Non
STD_2026_0004,TEE,P4,40.1,Non,Non
STD_2026_0004,TEH,P4,44.84,Non,Non
STD_2026_0004,CAA,P5,77.69,Oui,Non
STD_2026_0004,DTJA,P5,37.89,Non,Non
STD_2026_0004,EMP,P5,69.72,Sous condition,Non
STD_2026_0004,FIC,P5,84.18,Oui,Non
STD_2026_0005,AEE,P1,76.82,Oui,Non
STD_2026_0005,IAA,P1,73.9,Sous condition,Non
STD_2026_0005,PIP,P1,76.1,Oui,Non
STD_2026_0005,EMII,P2,73.26,Sous condition,Non
STD_2026_0005,GCA,P2,75.69,Oui,Non
STD_2026_0005,ICMP,P2,77.63,Oui,Oui
STD_2026_0005,ESIIA,P3,46.86,Non,Non
STD_2026_0005,IGGLIA,P3,70.93,Sous condition,Non
STD_2026_0005,IMTICIA,P3,71.89,Sous condition,Non
STD_2026_0005,ISAIA,P3,69.9,Sous condition,Non
STD_2026_0005,TEE,P4,74.22,Sous condition,Non
STD_2026_0005,TEH,P4,75.4,Oui,Non
STD_2026_0005,CAA,P5,75.38,Oui,Non
STD_2026_0005,DTJA,P5,68.96,Sous condition,Non
STD_2026_0005,EMP,P5,75.37,Oui,Non
STD_2026_0005,FIC,P5,72.77,Sous condition,Non
STD_2026_0006,AEE,P1,86.13,Oui,Non
STD_2026_0006,IAA,P1,82.63,Oui,Non
STD_2026_0006,PIP,P1,84.89,Oui,Non
STD_2026_0006,EMII,P2,85.28,Oui,Non
STD_2026_0006,GCA,P2,88.62,Oui,Non
STD_2026_0006,ICMP,P2,83.8,Oui,Non
STD_2026_0006,ESIIA,P3,92.14,Oui,Oui
STD_2026_0006,IGGLIA,P3,78.76,Oui,Non
STD_2026_0006,IMTICIA,P3,84.49,Oui,Non
STD_2026_0006,ISAIA,P3,76.24,Oui,Non
STD_2026_0006,TEE,P4,82.34,Oui,Non
STD_2026_0006,TEH,P4,64.27,Non,Non
STD_2026_0006,CAA,P5,76.65,Oui,Non
STD_2026_0006,DTJA,P5,48.37,Non,Non
STD_2026_0006,EMP,P5,77.62,Oui,Non
STD_2026_0006,FIC,P5,81.54,Oui,Non
STD_2026_0007,AEE,P1,47.36,Non,Non
STD_2026_0007,IAA,P1,48.49,Non,Non
STD_2026_0007,PIP,P1,47.35,Non,Non
STD_2026_0007,EMII,P2,54.2,Non,Non
STD_2026_0007,GCA,P2,50.48,Non,Non
STD_2026_0007,ICMP,P2,60.69,Non,Non
STD_2026_0007,ESIIA,P3,53.62,Non,Non
STD_2026_0007,IGGLIA,P3,79.39,Oui,Oui
STD_2026_0007,IMTICIA,P3,75.03,Oui,Non
STD_2026_0007,ISAIA,P3,77.82,Oui,Non
STD_2026_0007,TEE,P4,70.77,Sous condition,Non
STD_2026_0007,TEH,P4,73.36,Sous condition,Non
STD_2026_0007,CAA,P5,76.57,Oui,Non
STD_2026_0007,DTJA,P5,76.31,Oui,Non
STD_2026_0007,EMP,P5,79.61,Oui,Non
STD_2026_0007,FIC,P5,82.99,Oui,Non
STD_2026_0008,AEE,P1,66.68,Non,Non
STD_2026_0008,IAA,P1,90.56,Oui,Non
STD_2026_0008,PIP,P1,63.35,Non,Non
STD_2026_0008,EMII,P2,87.3,Oui,Non
STD_2026_0008,GCA,P2,78.23,Oui,Non
STD_2026_0008,ICMP,P2,88.23,Oui,Non
STD_2026_0008,ESIIA,P3,89.31,Oui,Non
STD_2026_0008,IGGLIA,P3,93.69,Oui,Non
STD_2026_0008,IMTICIA,P3,88.73,Oui,Oui
STD_2026_0008,ISAIA,P3,69.07,Non,Non
STD_2026_0008,TEE,P4,69.65,Non,Non
STD_2026_0008,TEH,P4,61.59,Non,Non
STD_2026_0008,CAA,P5,68.24,Non,Non
STD_2026_0008,DTJA,P5,58.29,Non,Non
STD_2026_0008,EMP,P5,65.57,Non,Non
STD_2026_0008,FIC,P5,67.76,Non,Non
STD_2026_0009,AEE,P1,75.32,Oui,Non
STD_2026_0009,IAA,P1,49.11,Non,Non
STD_2026_0009,PIP,P1,50.83,Non,Non
STD_2026_0009,EMII,P2,55.93,Non,Non
STD_2026_0009,GCA,P2,47.08,Non,Non
STD_2026_0009,ICMP,P2,35.27,Non,Non
STD_2026_0009,ESIIA,P3,52.85,Non,Non
STD_2026_0009,IGGLIA,P3,74.53,Sous condition,Non
STD_2026_0009,IMTICIA,P3,81.52,Oui,Non
STD_2026_0009,ISAIA,P3,59.15,Non,Oui
STD_2026_0009,TEE,P4,81.3,Oui,Non
STD_2026_0009,TEH,P4,82.99,Oui,Non
STD_2026_0009,CAA,P5,79.76,Oui,Non
STD_2026_0009,DTJA,P5,83.9,Oui,Non
STD_2026_0009,EMP,P5,86.03,Oui,Non
STD_2026_0009,FIC,P5,51.53,Non,Non
STD_2026_0010,AEE,P1,74.31,Sous condition,Non
STD_2026_0010,IAA,P1,55.32,Non,Non
STD_2026_0010,PIP,P1,49.96,Non,Non
STD_2026_0010,EMII,P2,44.9,Non,Non
STD_2026_0010,GCA,P2,52.88,Non,Non
STD_2026_0010,ICMP,P2,42.25,Non,Non
STD_2026_0010,ESIIA,P3,51.8,Non,Non
STD_2026_0010,IGGLIA,P3,79.99,Oui,Non
STD_2026_0010,IMTICIA,P3,74.1,Sous condition,Non
STD_2026_0010,ISAIA,P3,53.45,Non,Non
STD_2026_0010,TEE,P4,83.68,Oui,Oui
STD_2026_0010,TEH,P4,85.44,Oui,Non
STD_2026_0010,CAA,P5,78.64,Oui,Non
STD_2026_0010,DTJA,P5,89.51,Oui,Non
STD_2026_0010,EMP,P5,73.66,Sous condition,Non
STD_2026_0010,FIC,P5,62.86,Non,Non
STD_2026_0011,AEE,P1,62.34,Sous condition,Non
STD_2026_0011,IAA,P1,42.32,Non,Non
STD_2026_0011,PIP,P1,37.41,Non,Non
STD_2026_0011,EMII,P2,38.01,Non,Non
STD_2026_0011,GCA,P2,46.61,Non,Non
STD_2026_0011,ICMP,P2,34.36,Non,Non
STD_2026_0011,ESIIA,P3,40.76,Non,Non
STD_2026_0011,IGGLIA,P3,65.6,Sous condition,Non
STD_2026_0011,IMTICIA,P3,70.65,Sous condition,Non
STD_2026_0011,ISAIA,P3,40.87,Non,Non
STD_2026_0011,TEE,P4,69.25,Sous condition,Non
STD_2026_0011,TEH,P4,78.62,Oui,Oui
STD_2026_0011,CAA,P5,69.72,Sous condition,Non
STD_2026_0011,DTJA,P5,76.45,Oui,Non
STD_2026_0011,EMP,P5,63.68,Sous condition,Non
STD_2026_0011,FIC,P5,48.06,Non,Non
STD_2026_0012,AEE,P1,57.92,Non,Non
STD_2026_0012,IAA,P1,53.83,Non,Non
STD_2026_0012,PIP,P1,52.21,Non,Non
STD_2026_0012,EMII,P2,45.46,Non,Non
STD_2026_0012,GCA,P2,46.41,Non,Non
STD_2026_0012,ICMP,P2,47.34,Non,Non
STD_2026_0012,ESIIA,P3,53.44,Non,Non
STD_2026_0012,IGGLIA,P3,50.91,Non,Non
STD_2026_0012,IMTICIA,P3,76.18,Oui,Non
STD_2026_0012,ISAIA,P3,52.97,Non,Non
STD_2026_0012,TEE,P4,79.79,Oui,Non
STD_2026_0012,TEH,P4,80.08,Oui,Non
STD_2026_0012,CAA,P5,72.01,Sous condition,Oui
STD_2026_0012,DTJA,P5,78.48,Oui,Non
STD_2026_0012,EMP,P5,55.11,Non,Non
STD_2026_0012,FIC,P5,56.91,Non,Non
STD_2026_0013,AEE,P1,83.18,Oui,Non
STD_2026_0013,IAA,P1,85.2,Oui,Non
STD_2026_0013,PIP,P1,79.39,Oui,Non
STD_2026_0013,EMII,P2,83.89,Oui,Non
STD_2026_0013,GCA,P2,94.61,Oui,Non
STD_2026_0013,ICMP,P2,92.94,Oui,Non
STD_2026_0013,ESIIA,P3,84.99,Oui,Non
STD_2026_0013,IGGLIA,P3,75.66,Oui,Non
STD_2026_0013,IMTICIA,P3,81.82,Oui,Non
STD_2026_0013,ISAIA,P3,80.33,Oui,Non
STD_2026_0013,TEE,P4,57.03,Non,Non
STD_2026_0013,TEH,P4,49.71,Non,Non
STD_2026_0013,CAA,P5,79.3,Oui,Non
STD_2026_0013,DTJA,P5,52.11,Non,Oui
STD_2026_0013,EMP,P5,82.46,Oui,Non
STD_2026_0013,FIC,P5,89.33,Oui,Non
STD_2026_0014,AEE,P1,81.63,Oui,Non
STD_2026_0014,IAA,P1,86.28,Oui,Non
STD_2026_0014,PIP,P1,78.21,Oui,Non
STD_2026_0014,EMII,P2,79.17,Oui,Non
