matiere,AEE,IAA,PIP,EMII,GCA,ICMP,ESIIA,IGGLIA,IMTICIA,ISAIA,TEE,TEH,CAA,DTJA,EMP,FIC
Anglais,Fort,Fort,Fort,Fort,Faible,Faible,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible
Arts / options culturelles,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible,Faible,Faible
Dessin technique,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible
EPS,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible
Français,Fort,Fort,Fort,Faible,Faible,Faible,Faible,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort
Français et Littérature,Fort,Fort,Fort,Faible,Faible,Faible,Faible,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort
Gestion / Comptabilité,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Fort,Faible,Faible,Fort
Histoire-Géographie,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible,Fort,Fort,Faible,Fort,Faible,Faible
LV2,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Fort,Faible,Faible,Faible,Faible
Malagasy,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible
Mathématiques,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Fort,Fort
Mathématiques appliquées,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Fort,Fort
Mathématiques de gestion,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Fort,Fort
Philosophie,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Faible,Faible
Physique appliquée / Technologie,Faible,Faible,Faible,Fort,Faible,Faible,Fort,Faible,Fort,Faible,Faible,Faible,Faible,Faible,Faible,Faible
SVT,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible
SVT / Biologie-Géologie,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible
SVT / Sciences humaines,Fort,Fort,Fort,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Fort,Faible,Faible,Faible,Faible,Faible
Sciences Physiques et Chimiques,Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible
"Sciences Physiques, Chimiques et Technologie (SPCT)",Fort,Fort,Fort,Fort,Fort,Fort,Fort,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible
Économie,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Faible,Fort,Fort
Éducation civique,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Faible,Fort,Faible,Faible
