serie,matiere,coefficient
A,Philosophie,5
A,Français,5
A,Malagasy,4
A,Histoire-Géographie,4
A,Anglais,3
A,LV2,3
A,Mathématiques,2
A,SVT / Sciences humaines,2
A,EPS,2
A1,Philosophie,5
A1,Français,5
A1,Malagasy,4
A1,Histoire-Géographie,4
A1,Anglais,3
A1,LV2,3
A1,Mathématiques,2
A1,SVT / Sciences humaines,2
A1,EPS,2
A2,Philosophie,5
A2,Français,5
A2,Malagasy,4
A2,Histoire-Géographie,4
A2,Anglais,4
A2,LV2,4
A2,Mathématiques,2
A2,SVT / Sciences humaines,2
A2,EPS,2
L,Philosophie,5
L,Français et Littérature,5
L,Anglais,4
L,LV2,4
L,Malagasy,3
L,Histoire-Géographie,3
L,Éducation civique,2
L,Mathématiques,2
L,Arts / options culturelles,2
L,EPS,2
C,Mathématiques,7
C,"Sciences Physiques, Chimiques et Technologie (SPCT)",6
C,Français,3
C,Philosophie,2
C,Malagasy,2
C,Histoire-Géographie,2
C,Anglais,2
C,SVT,3
C,EPS,2
D,SVT,6
D,"Sciences Physiques, Chimiques et Technologie (SPCT)",5
D,Mathématiques,5
D,Français,3
D,Philosophie,2
D,Malagasy,2
D,Histoire-Géographie,2
D,Anglais,2
D,EPS,2
S,Mathématiques,7
S,Sciences Physiques et Chimiques,6
S,SVT / Biologie-Géologie,5
S,Français,3
S,Philosophie,2
S,Malagasy,2
S,Histoire-Géographie,2
S,Anglais,2
S,EPS,2
G,Mathématiques de gestion,5
G,Gestion / Comptabilité,6
G,Français,4
G,Anglais,4
G,Économie,4
G,Histoire-Géographie,2
G,Philosophie,2
G,EPS,2
Technique,Mathématiques appliquées,6
Technique,Physique appliquée / Technologie,6
Technique,Dessin technique,4
Technique,Français,3
Technique,Anglais,3
Technique,Philosophie,2
Technique,EPS,2
