parcours_id,age,sexe,serie,moyenne_generale,preferences_env,objectif_professionnel,filiere_nom,filiere_parcours_id,filiere_parcours_nom,filiere_secteur,nombre_competences,nombre_matieres_fortes,nombre_matieres_faibles,nombre_centres_interet
P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
