dataset,column,unique_values,most_frequent,most_frequent_count
admission_requirements,filiere_code,16,AEE,1
admission_requirements,series_autorisees,14,A; A1; A2; L; G; D,2
admission_requirements,matieres_obligatoires,5,Mathématiques,7
admission_requirements,prerequis_detail,16,"Aisance en langues, sensibilité écologique et ouverture culturelle.",1
candidat_filiere,candidat_id,750,STD_2026_0001,16
candidat_filiere,filiere_code,16,AEE,750
candidat_filiere,parcours_id,5,P3,3000
candidat_filiere,est_admissible,3,Oui,5223
candidat_filiere,est_recommandee,2,Non,11250
competences,competence_id,64,COMP_001,1
competences,nom_competence,64,Agronomie,1
competences,filiere_code,16,AEE,4
competences,secteur,16,Agriculture / Agronomie,4
formations_etablissement,code_filiere,16,AEE,1
formations_etablissement,nom_complet,16,Agriculture et Élevage,1
formations_etablissement,parcours_id,5,P3,4
formations_etablissement,parcours_nom,5,Informatique et Télécommunication,4
formations_etablissement,description,16,"Analyse conjoncturelle, pilotage budgétaire, évaluation d'impact et méthodologies de gestion de projets complexes.",1
formations_etablissement,matieres_principales,13,"Mathématiques; Mathématiques appliquées; Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; Physique appliquée / Technologie; Anglais",2
formations_etablissement,competences_visees,16,Agronomie; Zootechnie; Analyse des sols; Gestion d'exploitation,1
formations_etablissement,prerequis,16,"Aisance en langues, sensibilité écologique et ouverture culturelle.",1
formations_etablissement,series_admissibles,14,A; A1; A2; L; G; D,2
formations_etablissement,metiers_accessibles,16,Agronome; Conseiller agricole; Chef d'exploitation; Responsable d'élevage,1
formations_etablissement,secteur_professionnel,16,Agriculture / Agronomie,1
metiers,metier_id,64,MET_001,1
metiers,intitule_metier,64,Administrateur Réseaux & TIC,1
metiers,filiere_code,16,AEE,4
metiers,parcours_nom,5,Informatique et Télécommunication,16
professional_validation,professional_id,250,PRO_2026_0001,1
professional_validation,filiere_etudiee,16,EMII,16
professional_validation,parcours_id,5,P3,64
professional_validation,metier_exerce,61,Data Analyst,9
professional_validation,parcours_valide,1,Oui,250
profils_etudiants_synthetiques,student_id,750,STD_2026_0001,1
profils_etudiants_synthetiques,nom_complet,194,Nary Rabenjamina,10
profils_etudiants_synthetiques,sexe,2,M,389
profils_etudiants_synthetiques,serie,9,A1,84
profils_etudiants_synthetiques,notes_detaillees,750,Mathématiques appliquées:10.38; Physique appliquée / Technologie:16.64; Dessin technique:10.14; Français:12.51; Anglais:9.66; Philosophie:8.41; EPS:10.85,1
profils_etudiants_synthetiques,matieres_fortes,169,Philosophie; LV2,30
profils_etudiants_synthetiques,matieres_faibles,107,SVT / Sciences humaines; Mathématiques,32
profils_etudiants_synthetiques,centres_interet,90,Jeux de Stratégie; Musique,16
profils_etudiants_synthetiques,competences,190,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,11
profils_etudiants_synthetiques,preferences_env,5,Laboratoire & R&D,162
profils_etudiants_synthetiques,objectif_professionnel,64,Data Scientist,21
profils_etudiants_synthetiques,filieres_compatibles,660,DTJA; ESIIA; CAA,3
profils_etudiants_synthetiques,filiere_recommandee,16,CAA,47
profils_etudiants_synthetiques,parcours_recommande,5,Informatique et Télécommunication,188
profils_etudiants_synthetiques,niveau_confiance,3,Élevé,322
profils_etudiants_synthetiques,justification,725,"Excellente adéquation avec la série D et bonnes notes en SVT, Sciences Physiques, Chimiques et Technologie (SPCT). Profil aligné avec l'objectif de Responsable d'élevage.",3
profils_professionnels_synthetiques,professional_id,250,PRO_2026_0001,1
profils_professionnels_synthetiques,nom_complet,148,Nomena Andriantsitohaina,6
profils_professionnels_synthetiques,sexe,2,M,135
profils_professionnels_synthetiques,a_etudie_ispm,1,Oui,250
profils_professionnels_synthetiques,formation_suivie,16,Diplôme ISPM - Electronique Système Informatique et Intelligence Artificielle,16
profils_professionnels_synthetiques,parcours_ispm,5,Informatique et Télécommunication,64
profils_professionnels_synthetiques,filiere_etudiee,16,EMII,16
profils_professionnels_synthetiques,competences,142,C/C++ embarqué; Électronique numérique; Gestion de projet; Leadership,5
profils_professionnels_synthetiques,specialisation,16,Electronique Système Informatique et Intelligence Artificielle,16
profils_professionnels_synthetiques,metier_actuel,61,Data Analyst,9
profils_professionnels_synthetiques,secteur_professionnel,16,Bâtiment et Travaux Publics (BTP),16
profils_professionnels_synthetiques,matieres_cles_retenues,11,"Mathématiques; Mathématiques appliquées; Sciences Physiques, Chimiques et Technologie (SPCT)",48
profils_synthetiques,profile_id,1000,PRO_2026_0001,1
profils_synthetiques,type_profil,2,Étudiant,750
profils_synthetiques,sexe,2,M,524
profils_synthetiques,serie_ou_filiere,25,A1,84
profils_synthetiques,competences_clefs,332,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,11
profils_synthetiques,objectif_ou_metier,64,Data Scientist,24
profils_synthetiques,filiere_associee,16,EMII,63
serie_filiere_matrix,serie,9,A,1
serie_filiere_matrix,AEE,2,Compatible,6
serie_filiere_matrix,IAA,2,Non Compatible,5
serie_filiere_matrix,PIP,2,Non Compatible,6
serie_filiere_matrix,EMII,2,Non Compatible,5
serie_filiere_matrix,GCA,2,Non Compatible,5
serie_filiere_matrix,ICMP,2,Non Compatible,5
serie_filiere_matrix,ESIIA,2,Non Compatible,6
serie_filiere_matrix,IGGLIA,2,Compatible,8
serie_filiere_matrix,IMTICIA,1,Compatible,9
serie_filiere_matrix,ISAIA,2,Non Compatible,5
serie_filiere_matrix,TEE,2,Compatible,7
serie_filiere_matrix,TEH,2,Compatible,6
serie_filiere_matrix,CAA,2,Compatible,8
serie_filiere_matrix,DTJA,2,Compatible,6
serie_filiere_matrix,EMP,2,Compatible,7
serie_filiere_matrix,FIC,2,Non Compatible,5
sources,source_id,2,SRC_01,1
sources,nom,2,Base Données Baccalauréat,1
sources,type,2,Officiel,1
sources,description,2,Référentiel officiel des 5 parcours et 16 filières.,1
subject_filiere_matrix,matiere,22,Anglais,1
subject_filiere_matrix,AEE,2,Faible,11
subject_filiere_matrix,IAA,2,Faible,11
subject_filiere_matrix,PIP,2,Faible,11
subject_filiere_matrix,EMII,2,Faible,15
subject_filiere_matrix,GCA,2,Faible,15
subject_filiere_matrix,ICMP,2,Faible,14
subject_filiere_matrix,ESIIA,2,Faible,15
subject_filiere_matrix,IGGLIA,2,Faible,16
subject_filiere_matrix,IMTICIA,2,Faible,14
subject_filiere_matrix,ISAIA,2,Faible,16
subject_filiere_matrix,TEE,2,Faible,14
subject_filiere_matrix,TEH,2,Faible,16
subject_filiere_matrix,CAA,2,Faible,14
subject_filiere_matrix,DTJA,2,Faible,16
subject_filiere_matrix,EMP,2,Faible,15
subject_filiere_matrix,FIC,2,Faible,15
terminal_subjects,serie,9,L,10
terminal_subjects,matiere,22,Anglais,9
