dataset,column,dtype,unique_values,missing,missing_percentage
admission_requirements,filiere_code,str,16,0,0.0
admission_requirements,series_autorisees,str,14,0,0.0
admission_requirements,matieres_obligatoires,str,5,0,0.0
admission_requirements,note_minimale_requise,float64,1,0,0.0
admission_requirements,prerequis_detail,str,16,0,0.0
candidat_filiere,candidat_id,str,750,0,0.0
candidat_filiere,filiere_code,str,16,0,0.0
candidat_filiere,parcours_id,str,5,0,0.0
candidat_filiere,score_compatibilite,float64,4374,0,0.0
candidat_filiere,est_admissible,str,3,0,0.0
candidat_filiere,est_recommandee,str,2,0,0.0
competences,competence_id,str,64,0,0.0
competences,nom_competence,str,64,0,0.0
competences,filiere_code,str,16,0,0.0
competences,secteur,str,16,0,0.0
formations_etablissement,code_filiere,str,16,0,0.0
formations_etablissement,nom_complet,str,16,0,0.0
formations_etablissement,parcours_id,str,5,0,0.0
formations_etablissement,parcours_nom,str,5,0,0.0
formations_etablissement,description,str,16,0,0.0
formations_etablissement,matieres_principales,str,13,0,0.0
formations_etablissement,competences_visees,str,16,0,0.0
formations_etablissement,prerequis,str,16,0,0.0
formations_etablissement,series_admissibles,str,14,0,0.0
formations_etablissement,metiers_accessibles,str,16,0,0.0
formations_etablissement,secteur_professionnel,str,16,0,0.0
metiers,metier_id,str,64,0,0.0
metiers,intitule_metier,str,64,0,0.0
metiers,filiere_code,str,16,0,0.0
metiers,parcours_nom,str,5,0,0.0
professional_validation,professional_id,str,250,0,0.0
professional_validation,filiere_etudiee,str,16,0,0.0
professional_validation,parcours_id,str,5,0,0.0
professional_validation,metier_exerce,str,61,0,0.0
professional_validation,adequation_score,float64,240,0,0.0
professional_validation,parcours_valide,str,1,0,0.0
profils_etudiants_synthetiques,student_id,str,750,0,0.0
profils_etudiants_synthetiques,nom_complet,str,194,0,0.0
profils_etudiants_synthetiques,age,int64,6,0,0.0
profils_etudiants_synthetiques,sexe,str,2,0,0.0
profils_etudiants_synthetiques,serie,str,9,0,0.0
profils_etudiants_synthetiques,notes_detaillees,str,750,0,0.0
profils_etudiants_synthetiques,moyenne_generale,float64,331,0,0.0
profils_etudiants_synthetiques,matieres_fortes,str,169,0,0.0
profils_etudiants_synthetiques,matieres_faibles,str,107,0,0.0
profils_etudiants_synthetiques,centres_interet,str,90,0,0.0
profils_etudiants_synthetiques,competences,str,190,0,0.0
profils_etudiants_synthetiques,preferences_env,str,5,0,0.0
profils_etudiants_synthetiques,objectif_professionnel,str,64,0,0.0
profils_etudiants_synthetiques,filieres_compatibles,str,660,0,0.0
profils_etudiants_synthetiques,filiere_recommandee,str,16,0,0.0
profils_etudiants_synthetiques,parcours_recommande,str,5,0,0.0
profils_etudiants_synthetiques,score_compatibilite,float64,700,0,0.0
profils_etudiants_synthetiques,niveau_confiance,str,3,0,0.0
profils_etudiants_synthetiques,justification,str,725,0,0.0
profils_professionnels_synthetiques,professional_id,str,250,0,0.0
profils_professionnels_synthetiques,nom_complet,str,148,0,0.0
profils_professionnels_synthetiques,age,int64,28,0,0.0
profils_professionnels_synthetiques,sexe,str,2,0,0.0
profils_professionnels_synthetiques,a_etudie_ispm,str,1,0,0.0
profils_professionnels_synthetiques,formation_suivie,str,16,0,0.0
profils_professionnels_synthetiques,parcours_ispm,str,5,0,0.0
profils_professionnels_synthetiques,filiere_etudiee,str,16,0,0.0
profils_professionnels_synthetiques,annee_obtention,int64,20,0,0.0
profils_professionnels_synthetiques,competences,str,142,0,0.0
profils_professionnels_synthetiques,specialisation,str,16,0,0.0
profils_professionnels_synthetiques,metier_actuel,str,61,0,0.0
profils_professionnels_synthetiques,secteur_professionnel,str,16,0,0.0
profils_professionnels_synthetiques,annees_experience,int64,20,0,0.0
profils_professionnels_synthetiques,matieres_cles_retenues,str,11,0,0.0
profils_professionnels_synthetiques,adequation_formation_metier_score,float64,240,0,0.0
profils_synthetiques,profile_id,str,1000,0,0.0
profils_synthetiques,type_profil,str,2,0,0.0
profils_synthetiques,age,int64,34,0,0.0
profils_synthetiques,sexe,str,2,0,0.0
profils_synthetiques,serie_ou_filiere,str,25,0,0.0
profils_synthetiques,competences_clefs,str,332,0,0.0
profils_synthetiques,objectif_ou_metier,str,64,0,0.0
profils_synthetiques,filiere_associee,str,16,0,0.0
profils_synthetiques,score_adéquation_global,float64,912,0,0.0
serie_filiere_matrix,serie,str,9,0,0.0
serie_filiere_matrix,AEE,str,2,0,0.0
serie_filiere_matrix,IAA,str,2,0,0.0
serie_filiere_matrix,PIP,str,2,0,0.0
serie_filiere_matrix,EMII,str,2,0,0.0
serie_filiere_matrix,GCA,str,2,0,0.0
serie_filiere_matrix,ICMP,str,2,0,0.0
serie_filiere_matrix,ESIIA,str,2,0,0.0
serie_filiere_matrix,IGGLIA,str,2,0,0.0
serie_filiere_matrix,IMTICIA,str,1,0,0.0
serie_filiere_matrix,ISAIA,str,2,0,0.0
serie_filiere_matrix,TEE,str,2,0,0.0
serie_filiere_matrix,TEH,str,2,0,0.0
serie_filiere_matrix,CAA,str,2,0,0.0
serie_filiere_matrix,DTJA,str,2,0,0.0
serie_filiere_matrix,EMP,str,2,0,0.0
serie_filiere_matrix,FIC,str,2,0,0.0
sources,source_id,str,2,0,0.0
sources,nom,str,2,0,0.0
sources,type,str,2,0,0.0
sources,description,str,2,0,0.0
subject_filiere_matrix,matiere,str,22,0,0.0
subject_filiere_matrix,AEE,str,2,0,0.0
subject_filiere_matrix,IAA,str,2,0,0.0
subject_filiere_matrix,PIP,str,2,0,0.0
subject_filiere_matrix,EMII,str,2,0,0.0
subject_filiere_matrix,GCA,str,2,0,0.0
subject_filiere_matrix,ICMP,str,2,0,0.0
subject_filiere_matrix,ESIIA,str,2,0,0.0
subject_filiere_matrix,IGGLIA,str,2,0,0.0
subject_filiere_matrix,IMTICIA,str,2,0,0.0
subject_filiere_matrix,ISAIA,str,2,0,0.0
subject_filiere_matrix,TEE,str,2,0,0.0
subject_filiere_matrix,TEH,str,2,0,0.0
subject_filiere_matrix,CAA,str,2,0,0.0
subject_filiere_matrix,DTJA,str,2,0,0.0
subject_filiere_matrix,EMP,str,2,0,0.0
subject_filiere_matrix,FIC,str,2,0,0.0
terminal_subjects,serie,str,9,0,0.0
terminal_subjects,matiere,str,22,0,0.0
terminal_subjects,coefficient,int64,6,0,0.0
