dataset,column,missing_count,total,missing_percentage
admission_requirements,filiere_code,0,16,0.0
admission_requirements,series_autorisees,0,16,0.0
admission_requirements,matieres_obligatoires,0,16,0.0
admission_requirements,note_minimale_requise,0,16,0.0
admission_requirements,prerequis_detail,0,16,0.0
candidat_filiere,candidat_id,0,12000,0.0
candidat_filiere,filiere_code,0,12000,0.0
candidat_filiere,parcours_id,0,12000,0.0
candidat_filiere,score_compatibilite,0,12000,0.0
candidat_filiere,est_admissible,0,12000,0.0
candidat_filiere,est_recommandee,0,12000,0.0
competences,competence_id,0,64,0.0
competences,nom_competence,0,64,0.0
competences,filiere_code,0,64,0.0
competences,secteur,0,64,0.0
formations_etablissement,code_filiere,0,16,0.0
formations_etablissement,nom_complet,0,16,0.0
formations_etablissement,parcours_id,0,16,0.0
formations_etablissement,parcours_nom,0,16,0.0
formations_etablissement,description,0,16,0.0
formations_etablissement,matieres_principales,0,16,0.0
formations_etablissement,competences_visees,0,16,0.0
formations_etablissement,prerequis,0,16,0.0
formations_etablissement,series_admissibles,0,16,0.0
formations_etablissement,metiers_accessibles,0,16,0.0
formations_etablissement,secteur_professionnel,0,16,0.0
metiers,metier_id,0,64,0.0
metiers,intitule_metier,0,64,0.0
metiers,filiere_code,0,64,0.0
metiers,parcours_nom,0,64,0.0
professional_validation,professional_id,0,250,0.0
professional_validation,filiere_etudiee,0,250,0.0
professional_validation,parcours_id,0,250,0.0
professional_validation,metier_exerce,0,250,0.0
professional_validation,adequation_score,0,250,0.0
professional_validation,parcours_valide,0,250,0.0
profils_etudiants_synthetiques,student_id,0,750,0.0
profils_etudiants_synthetiques,nom_complet,0,750,0.0
profils_etudiants_synthetiques,age,0,750,0.0
profils_etudiants_synthetiques,sexe,0,750,0.0
profils_etudiants_synthetiques,serie,0,750,0.0
profils_etudiants_synthetiques,notes_detaillees,0,750,0.0
profils_etudiants_synthetiques,moyenne_generale,0,750,0.0
profils_etudiants_synthetiques,matieres_fortes,0,750,0.0
profils_etudiants_synthetiques,matieres_faibles,0,750,0.0
profils_etudiants_synthetiques,centres_interet,0,750,0.0
profils_etudiants_synthetiques,competences,0,750,0.0
profils_etudiants_synthetiques,preferences_env,0,750,0.0
profils_etudiants_synthetiques,objectif_professionnel,0,750,0.0
profils_etudiants_synthetiques,filieres_compatibles,0,750,0.0
profils_etudiants_synthetiques,filiere_recommandee,0,750,0.0
profils_etudiants_synthetiques,parcours_recommande,0,750,0.0
profils_etudiants_synthetiques,score_compatibilite,0,750,0.0
profils_etudiants_synthetiques,niveau_confiance,0,750,0.0
profils_etudiants_synthetiques,justification,0,750,0.0
profils_professionnels_synthetiques,professional_id,0,250,0.0
profils_professionnels_synthetiques,nom_complet,0,250,0.0
profils_professionnels_synthetiques,age,0,250,0.0
profils_professionnels_synthetiques,sexe,0,250,0.0
profils_professionnels_synthetiques,a_etudie_ispm,0,250,0.0
profils_professionnels_synthetiques,formation_suivie,0,250,0.0
profils_professionnels_synthetiques,parcours_ispm,0,250,0.0
profils_professionnels_synthetiques,filiere_etudiee,0,250,0.0
profils_professionnels_synthetiques,annee_obtention,0,250,0.0
profils_professionnels_synthetiques,competences,0,250,0.0
profils_professionnels_synthetiques,specialisation,0,250,0.0
profils_professionnels_synthetiques,metier_actuel,0,250,0.0
profils_professionnels_synthetiques,secteur_professionnel,0,250,0.0
profils_professionnels_synthetiques,annees_experience,0,250,0.0
profils_professionnels_synthetiques,matieres_cles_retenues,0,250,0.0
profils_professionnels_synthetiques,adequation_formation_metier_score,0,250,0.0
profils_synthetiques,profile_id,0,1000,0.0
profils_synthetiques,type_profil,0,1000,0.0
profils_synthetiques,age,0,1000,0.0
profils_synthetiques,sexe,0,1000,0.0
profils_synthetiques,serie_ou_filiere,0,1000,0.0
profils_synthetiques,competences_clefs,0,1000,0.0
profils_synthetiques,objectif_ou_metier,0,1000,0.0
profils_synthetiques,filiere_associee,0,1000,0.0
profils_synthetiques,score_adéquation_global,0,1000,0.0
serie_filiere_matrix,serie,0,9,0.0
serie_filiere_matrix,AEE,0,9,0.0
serie_filiere_matrix,IAA,0,9,0.0
serie_filiere_matrix,PIP,0,9,0.0
serie_filiere_matrix,EMII,0,9,0.0
serie_filiere_matrix,GCA,0,9,0.0
serie_filiere_matrix,ICMP,0,9,0.0
serie_filiere_matrix,ESIIA,0,9,0.0
serie_filiere_matrix,IGGLIA,0,9,0.0
serie_filiere_matrix,IMTICIA,0,9,0.0
serie_filiere_matrix,ISAIA,0,9,0.0
serie_filiere_matrix,TEE,0,9,0.0
serie_filiere_matrix,TEH,0,9,0.0
serie_filiere_matrix,CAA,0,9,0.0
serie_filiere_matrix,DTJA,0,9,0.0
serie_filiere_matrix,EMP,0,9,0.0
serie_filiere_matrix,FIC,0,9,0.0
sources,source_id,0,2,0.0
sources,nom,0,2,0.0
sources,type,0,2,0.0
sources,description,0,2,0.0
subject_filiere_matrix,matiere,0,22,0.0
subject_filiere_matrix,AEE,0,22,0.0
subject_filiere_matrix,IAA,0,22,0.0
subject_filiere_matrix,PIP,0,22,0.0
subject_filiere_matrix,EMII,0,22,0.0
subject_filiere_matrix,GCA,0,22,0.0
subject_filiere_matrix,ICMP,0,22,0.0
subject_filiere_matrix,ESIIA,0,22,0.0
subject_filiere_matrix,IGGLIA,0,22,0.0
subject_filiere_matrix,IMTICIA,0,22,0.0
subject_filiere_matrix,ISAIA,0,22,0.0
subject_filiere_matrix,TEE,0,22,0.0
subject_filiere_matrix,TEH,0,22,0.0
subject_filiere_matrix,CAA,0,22,0.0
subject_filiere_matrix,DTJA,0,22,0.0
subject_filiere_matrix,EMP,0,22,0.0
subject_filiere_matrix,FIC,0,22,0.0
terminal_subjects,serie,0,79,0.0
terminal_subjects,matiere,0,79,0.0
terminal_subjects,coefficient,0,79,0.0
