dataset,column,keyword_score,unique_values
profils_professionnels_synthetiques,adequation_formation_metier_score,2,240
candidat_filiere,filiere_code,1,16
admission_requirements,filiere_code,1,16
competences,filiere_code,1,16
formations_etablissement,code_filiere,1,16
metiers,metier_id,1,64
formations_etablissement,metiers_accessibles,1,16
metiers,filiere_code,1,16
professional_validation,filiere_etudiee,1,16
professional_validation,metier_exerce,1,61
metiers,intitule_metier,1,64
profils_etudiants_synthetiques,filieres_compatibles,1,660
profils_etudiants_synthetiques,filiere_recommandee,1,16
profils_professionnels_synthetiques,filiere_etudiee,1,16
profils_professionnels_synthetiques,formation_suivie,1,16
profils_professionnels_synthetiques,metier_actuel,1,61
profils_synthetiques,serie_ou_filiere,1,25
profils_synthetiques,objectif_ou_metier,1,64
profils_synthetiques,filiere_associee,1,16
